Countries (PWT nomenclature);Non-commodity exporters;;;;;Statistical capacity;;;;;OECD;;;;;All sample;;;;
;gdppc1960;gdppc2019;n+delta+g;share_i;school;gdppc1960;gdppc2019;n+delta+g;share_i;school;gdppc1960;gdppc2019;n+delta+g;share_i;school;gdppc1960;gdppc2019;n+delta+g;share_i;school
Panama;-5.2494;-3.0784;-2.5727;-1.4975;-2.5095;-5.2494;-3.0784;-2.5727;-1.4975;-2.5095;;;;;;-5.2494;-3.0784;-2.5727;-1.4975;-2.5095
Paraguay;-5.3361;-3.9534;-2.5617;-1.5544;-2.8234;-5.3361;-3.9534;-2.5617;-1.5544;-2.8234;;;;;;-5.3361;-3.9534;-2.5617;-1.5544;-2.8234
Peru;-5.2271;-3.9931;-2.6055;-1.7647;-2.5240;-5.2271;-3.9931;-2.6055;-1.7647;-2.5240;;;;;;-5.2271;-3.9931;-2.6055;-1.7647;-2.5240
Trinidad and Tobago;;;;;;-4.0283;-3.1763;-2.7698;-2.0070;-2.3082;;;;;;-4.0283;-3.1763;-2.7698;-2.0070;-2.3082
Uruguay;-4.4643;-3.4482;-2.8925;-1.7129;-2.7932;-4.4643;-3.4482;-2.8925;-1.7129;-2.7932;;;;;;-4.4643;-3.4482;-2.8925;-1.7129;-2.7932
Venezuela (Bolivarian Republic of);;;;;;-4.3354;-7.8587;-2.5842;-1.3429;-2.7632;;;;;;-4.3354;-7.8587;-2.5842;-1.3429;-2.7632
Algeria;;;;;;-3.8810;-3.9770;-2.5698;-1.0513;-2.9163;;;;;;-3.8810;-3.9770;-2.5698;-1.0513;-2.9163
Bahrain;;;;;;;;;;;;;;;;;;;;
Cyprus;;;;;;;;;;;;;;;;-4.9349;-3.3872;-2.7209;-0.8794;-2.4596
Egypt;-6.6623;-3.9217;-2.5930;-2.5262;-2.8228;-6.6623;-3.9217;-2.5930;-2.5262;-2.8228;;;;;;-6.6623;-3.9217;-2.5930;-2.5262;-2.8228
Iran (Islamic Republic of);;;;;;-4.9555;-3.9532;-2.5599;-1.2996;-2.5258;;;;;;-4.9555;-3.9532;-2.5599;-1.2996;-2.5258
Iraq;;;;;;;;;;;;;;;;;;;;
Israel;-4.2916;-2.8039;-2.5868;-1.2905;-2.5811;-4.2916;-2.8039;-2.5868;-1.2905;-2.5811;-4.2916;-2.8039;-2.5868;-1.2905;-2.5811;-4.2916;-2.8039;-2.5868;-1.2905;-2.5811
Jordan;-5.2560;-4.0599;-2.3603;-1.3750;-2.1880;-5.2560;-4.0599;-2.3603;-1.3750;-2.1880;;;;;;-5.2560;-4.0599;-2.3603;-1.3750;-2.1880
Kuwait;;;;;;;;;;;;;;;;;;;;
Libyan Arab Jamahiriya;;;;;;;;;;;;;;;;;;;;
Malta;;;;;;;;;;;;;;;;-7.3747;-2.9458;-2.8036;-0.9192;-2.6719
Morocco;-5.9559;-4.4183;-2.6241;-1.6120;-3.2727;-5.9559;-4.4183;-2.6241;-1.6120;-3.2727;;;;;;-5.9559;-4.4183;-2.6241;-1.6120;-3.2727
Qatar;;;;;;;;;;;;;;;;;;;;
Saudi Arabia;;;;;;;;;;;;;;;;;;;;
Syrian Arab Republic;;;;;;;;;;;;;;;;-5.3413;-4.4898;-2.5627;-1.9235;-3.1781
Tunisia;-5.7707;-4.1039;-2.6344;-1.7809;-2.7627;-5.7707;-4.1039;-2.6344;-1.7809;-2.7627;;;;;;-5.7707;-4.1039;-2.6344;-1.7809;-2.7627
United Arab Emirates;;;;;;;;;;;;;;;;;;;;
Yemen;;;;;;;;;;;;;;;;;;;;
Afghanistan;;;;;;;;;;;;;;;;;;;;
Bangladesh;-5.7543;-4.9777;-2.5978;-1.9981;-2.9883;-5.7543;-4.9777;-2.5978;-1.9981;-2.9883;;;;;;-5.7543;-4.9777;-2.5978;-1.9981;-2.9883
India;-6.1891;-4.6035;-2.6320;-1.6102;-2.9159;-6.1891;-4.6035;-2.6320;-1.6102;-2.9159;;;;;;-6.1891;-4.6035;-2.6320;-1.6102;-2.9159
Maldives;;;;;;;;;;;;;;;;;;;;
Nepal;-6.6277;-5.1820;-2.6599;-1.8536;-3.2426;-6.6277;-5.1820;-2.6599;-1.8536;-3.2426;;;;;;-6.6277;-5.1820;-2.6599;-1.8536;-3.2426
Pakistan;-6.1196;-4.7926;-2.5479;-2.1566;-3.0159;-6.1196;-4.7926;-2.5479;-2.1566;-3.0159;;;;;;-6.1196;-4.7926;-2.5479;-2.1566;-3.0159
Sri Lanka;-5.2190;-3.9153;-2.7040;-1.6587;-2.3053;-5.2190;-3.9153;-2.7040;-1.6587;-2.3053;;;;;;-5.2190;-3.9153;-2.7040;-1.6587;-2.3053
Benin;-5.9197;-5.1242;-2.5700;-2.1773;-3.3290;-5.9197;-5.1242;-2.5700;-2.1773;-3.3290;;;;;;-5.9197;-5.1242;-2.5700;-2.1773;-3.3290
Botswana;;;;;;-6.8843;-3.6252;-2.5365;-1.2303;-2.2336;;;;;;-6.8843;-3.6252;-2.5365;-1.2303;-2.2336
Burundi;-6.6538;-6.4950;-2.6040;-2.3193;-4.4577;-6.6538;-6.4950;-2.6040;-2.3193;-4.4577;;;;;;-6.6538;-6.4950;-2.6040;-2.3193;-4.4577
Cameroon;;;;;;-5.8975;-5.0132;-2.5609;-1.7725;-3.1444;;;;;;-5.8975;-5.0132;-2.5609;-1.7725;-3.1444
Central African Republic;;;;;;;;;;;;;;;;-6.0388;-6.2998;-2.6805;-1.8579;-3.6472
Congo;;;;;;;;;;;;;;;;-6.1838;-4.7849;-2.5392;-1.5270;-2.3885
Ivory Coast;;;;;;-5.7964;-4.7013;-2.4694;-2.3183;-3.1756;;;;;;-5.7964;-4.7013;-2.4694;-2.3183;-3.1756
D.R. of the Congo;;;;;;;;;;;;;;;;-5.2440;-6.2126;-2.5382;-1.7830;-3.1995
Gabon;;;;;;;;;;;;;;;;-5.1714;-3.6444;-2.5962;-1.8032;-2.7549
Gambia;-5.4081;-5.3996;-2.5085;-2.2366;-3.2676;-5.4081;-5.3996;-2.5085;-2.2366;-3.2676;;;;;;-5.4081;-5.3996;-2.5085;-2.2366;-3.2676
Ghana;-4.6919;-4.7096;-2.5511;-1.1974;-2.3552;-4.6919;-4.7096;-2.5511;-1.1974;-2.3552;;;;;;-4.6919;-4.7096;-2.5511;-1.1974;-2.3552
Kenya;-5.7080;-4.9258;-2.4655;-2.1376;-3.3991;-5.7080;-4.9258;-2.4655;-2.1376;-3.3991;;;;;;-5.7080;-4.9258;-2.4655;-2.1376;-3.3991
Lesotho;-6.3850;-5.4481;-2.6660;-1.7871;-3.2501;-6.3850;-5.4481;-2.6660;-1.7871;-3.2501;;;;;;-6.3850;-5.4481;-2.6660;-1.7871;-3.2501
Liberia;;;;;;;;;;;;;;;;-5.7365;-6.0976;-2.5828;-1.6625;-3.8106
Malawi;-6.4232;-6.1399;-2.5478;-1.8040;-4.8057;-6.4232;-6.1399;-2.5478;-1.8040;-4.8057;;;;;;-6.4232;-6.1399;-2.5478;-1.8040;-4.8057
Mali;;;;;;-6.7640;-5.3241;-2.6534;-2.2263;-4.4988;;;;;;-6.7640;-5.3241;-2.6534;-2.2263;-4.4988
Mauritania;-5.4920;-4.8024;-2.5278;-1.5137;-3.9662;-5.4920;-4.8024;-2.5278;-1.5137;-3.9662;;;;;;-5.4920;-4.8024;-2.5278;-1.5137;-3.9662
Mauritius;-4.8749;-3.4041;-2.7066;-1.9543;-2.4619;-4.8749;-3.4041;-2.7066;-1.9543;-2.4619;;;;;;-4.8749;-3.4041;-2.7066;-1.9543;-2.4619
Mozambique;-6.8758;-6.0621;-2.6024;-1.6911;-4.8446;-6.8758;-6.0621;-2.6024;-1.6911;-4.8446;;;;;;-6.8758;-6.0621;-2.6024;-1.6911;-4.8446
Namibia;-4.9741;-4.1526;-2.5909;-1.5227;-3.0851;-4.9741;-4.1526;-2.5909;-1.5227;-3.0851;;;;;;-4.9741;-4.1526;-2.5909;-1.5227;-3.0851
Niger;;;;;;-5.5240;-5.9733;-2.4992;-1.8198;-4.5340;;;;;;-5.5240;-5.9733;-2.4992;-1.8198;-4.5340
Reunion;;;;;;;;;;;;;;;;;;;;
Rwanda;-6.1885;-5.5253;-2.5549;-2.6552;-3.8440;-6.1885;-5.5253;-2.5549;-2.6552;-3.8440;;;;;;-6.1885;-5.5253;-2.5549;-2.6552;-3.8440
Senegal;-5.3263;-5.1147;-2.5494;-2.2838;-4.0828;-5.3263;-5.1147;-2.5494;-2.2838;-4.0828;;;;;;-5.3263;-5.1147;-2.5494;-2.2838;-4.0828
Sierra Leone;;;;;;;;;;;;;;;;-6.4363;-5.7051;-2.6548;-2.9595;-3.5776
South Africa;;;;;;-4.4501;-3.9578;-2.6033;-1.6247;-2.6502;;;;;;-4.4501;-3.9578;-2.6033;-1.6247;-2.6502
Sudan;;;;;;;;;;;;;;;;-4.8598;-4.8894;-2.5096;-2.0342;-4.8065
Swaziland;;;;;;;;;;;;;;;;;;;;
Togo;-6.1559;-5.5256;-2.5412;-1.5355;-2.9587;-6.1559;-5.5256;-2.5412;-1.5355;-2.9587;;;;;;-6.1559;-5.5256;-2.5412;-1.5355;-2.9587
Uganda;-6.3593;-5.5067;-2.4967;-1.8447;-3.9798;-6.3593;-5.5067;-2.4967;-1.8447;-3.9798;;;;;;-6.3593;-5.5067;-2.4967;-1.8447;-3.9798
U.R. of Tanzania: Mainland;-6.1338;-5.4532;-2.5171;-1.6130;-4.9948;-6.1338;-5.4532;-2.5171;-1.6130;-4.9948;;;;;;-6.1338;-5.4532;-2.5171;-1.6130;-4.9948
Zambia;;;;;;-5.6423;-5.1242;-2.5148;-1.9621;-3.1283;;;;;;-5.6423;-5.1242;-2.5148;-1.9621;-3.1283
Zimbabwe;-5.3361;-5.2822;-2.5973;-1.8474;-2.5308;-5.3361;-5.2822;-2.5973;-1.8474;-2.5308;;;;;;-5.3361;-5.2822;-2.5973;-1.8474;-2.5308
